Time,File,Event
18:43:50.711,1.xml,Created
18:43:50.890,2.xml,Created
18:43:51.094,3.xml,Created
18:43:51.294,4.xml,Created
18:43:51.495,5.xml,Created
18:43:51.695,6.xml,Created
18:43:51.896,7.xml,Created
18:43:52.099,8.xml,Created
18:43:52.311,9.xml,Created
18:43:52.513,10.xml,Created
18:43:52.712,11.xml,Created
18:43:52.914,12.xml,Created
18:43:53.115,13.xml,Created
18:43:53.327,14.xml,Created
18:43:53.528,15.xml,Created
18:43:53.728,16.xml,Created
18:43:53.929,17.xml,Created
18:43:54.129,18.xml,Created
18:43:54.343,19.xml,Created
18:43:54.544,20.xml,Created
18:43:54.745,21.xml,Created
18:43:54.946,22.xml,Created
18:43:55.147,23.xml,Created
19:23:41.916,9 — копия — копия.xml,Created
19:23:41.932,9 — копия (2).xml,Created
19:23:41.934,10 — копия — копия.xml,Created
19:23:41.938,10 — копия (2).xml,Created
19:23:41.939,11 — копия — копия.xml,Created
19:23:41.941,11 — копия (2).xml,Created
19:23:41.946,6 — копия (2).xml,Created
19:23:41.950,7 — копия — копия.xml,Created
19:23:41.954,7 — копия (2).xml,Created
19:23:41.958,8 — копия — копия.xml,Created
19:23:41.964,8 — копия (2).xml,Created
